number,name,goals,two_min,card,team,date,game_id,league_id,league_name
7,Tom Theophile,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
8,Jannick Rechter,3,2,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
14,Jan Niklas Richters,6,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
19,Matti Theophile,2,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
20,Max Lemke,4,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
22,Tino Kohrt,6,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
25,Finn Ruhnau,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
26,Moritz Machay,0,1,yellow,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
31,Timo Okun,3,1,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
34,Max Ruhnau,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
35,Soennick Nehls,2,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
40,Benjamin Boje,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
50,Tim Niklas Heinkel,0,0,None,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
71,Yannick Hellmich,3,0,yellow,TuS Esingen,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
5,Jan Rabe,2,1,yellow,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
10,Felix Henka,6,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
12,Tim Escher,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
16,Robin Noack,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
17,Frederik Gadeberg,0,0,yellow,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
18,Max Turkat,5,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
22,Jarik Teegen,4,1,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
24,Pascal Kühl,3,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
25,Tom Minners,4,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
30,Hannes Haas,1,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
34,Linus de la Motte,8,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
43,Jan-Owe Hinsch,0,0,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
57,Finn Ole Maciejewski,1,1,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
85,Willow Nowacki,3,2,None,HT Norderstedt,2024-09-14 17:00:00,handball4all.hamburg.7840001,handball4all.hamburg.126991,Männer Oberliga (100)
1,Tobias Prieß,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
2,Janik Rust,2,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
3,N.N. N.N.,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
4,Tom Steinberg,6,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
5,Tim Kappel,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
6,Aleksej Kiselev,0,1,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
9,Lukas-Maximilian Jensen,1,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
11,Fabrice Bruce,3,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
12,Maurice Mensing,0,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
13,Elias Wani Martens,4,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
15,Jonas Kappel,1,0,yellow,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
19,Marek Struß,3,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
22,Felix Zielke,2,0,None,TV Fischbek,2024-09-14 18:00:00,handball4all.hamburg.7839996,handball4all.hamburg.126991,Männer Oberliga (100)
